2
30
2
25
12
40	50	0	0	0	0	0	0	0	0	0	0	0	0
25	85	0	1	0	1	0	0	0	0	1	0	1	0
22	75	1	0	0	0	0	1	0	1	0	1	0	0
22	85	0	0	1	1	0	0	0	0	1	0	1	0
20	80	0	0	1	0	0	1	0	0	1	1	0	0
20	85	0	0	1	1	0	0	1	0	0	0	1	0
18	75	0	0	1	0	1	0	0	1	0	1	0	0
15	75	0	0	1	0	1	0	0	1	0	1	0	0
15	80	0	0	1	1	0	0	1	0	0	1	0	0
10	35	0	0	1	1	0	0	0	0	1	0	1	0
10	40	1	0	0	0	1	0	0	0	1	0	1	0
8	40	1	0	0	0	0	1	0	1	0	0	1	0
8	45	0	0	1	0	0	1	0	1	0	0	1	0
5	35	0	0	1	1	0	0	1	0	0	0	1	0
5	45	0	0	1	0	0	1	0	0	1	0	1	0
2	40	0	0	1	1	0	0	0	0	1	0	1	0
49	42	0	1	0	0	0	1	1	0	0	0	0	1
53	43	1	0	0	0	1	0	1	0	0	0	0	1
61	52	0	0	1	0	0	1	0	0	1	0	0	1
57	48	0	0	1	1	0	0	1	0	0	0	0	1
56	37	0	1	0	1	0	0	0	1	0	0	0	1
55	54	0	1	0	0	0	1	0	0	1	0	1	0
4	18	0	0	1	0	1	0	0	1	0	0	0	1
26	52	1	0	0	0	1	0	0	1	0	0	1	0
26	35	0	0	1	0	1	0	0	1	0	0	1	0
31	67	0	0	1	0	1	0	0	0	1	1	0	0






